2026-05-30 14:06:54 | INFO     | codecompanion.http | → GET /api/ollama/status [c2dd24a9]
2026-05-30 14:06:56 | INFO     | codecompanion.http | → PUT /api/drafts [7da406af]
2026-05-30 14:06:56 | INFO     | codecompanion.http | ← PUT /api/drafts 200 15.0ms [7da406af]
2026-05-30 14:06:56 | INFO     | codecompanion.http | ← GET /api/ollama/status 200 2704.4ms [c2dd24a9]
2026-05-30 14:06:57 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:06:57 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:01 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:03 | INFO     | codecompanion.main | 前端 SPA 模式已启用（dist 目录）
2026-05-30 14:08:03 | INFO     | codecompanion.main | 数据库已初始化
2026-05-30 14:08:03 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:07 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:19 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:08:21 | INFO     | codecompanion.main | 前端 SPA 模式已启用（dist 目录）
2026-05-30 14:08:21 | INFO     | codecompanion.main | 数据库已初始化
2026-05-30 14:08:21 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:08:25 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:08:44 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
